country,continent,year,lifeExp,pop,gdpPercap,iso_alpha
"Burkina Faso",Africa,1982,48.122,6634596,807.1985855,BFA
"Burkina Faso",Africa,1987,49.557,7586551,912.0631417,BFA
"Burkina Faso",Africa,1992,50.26,8878303,931.7527731,BFA
"Burkina Faso",Africa,1997,50.324,10352843,946.2949618,BFA
"Burkina Faso",Africa,2002,50.65,12251209,1037.645221,BFA
"Burkina Faso",Africa,2007,52.295,14326203,1217.032994,BFA
Burundi,Africa,1952,39.031,2445618,339.2964587,BDI
Burundi,Africa,1957,40.533,2667518,379.5646281,BDI
Burundi,Africa,1962,42.045,2961915,355.2032273,BDI
Burundi,Africa,1967,43.548,3330989,412.9775136,BDI
Burundi,Africa,1972,44.057,3529983,464.0995039,BDI
Burundi,Africa,1977,45.91,3834415,556.1032651,BDI
Burundi,Africa,1982,47.471,4580410,559.603231,BDI
Burundi,Africa,1987,48.211,5126023,621.8188189,BDI
Burundi,Africa,1992,44.736,5809236,631.6998778,BDI
Burundi,Africa,1997,45.326,6121610,463.1151478,BDI
Burundi,Africa,2002,47.36,7021078,446.4035126,BDI
Burundi,Africa,2007,49.58,8390505,430.0706916,BDI
Cambodia,Asia,1952,39.417,4693836,368.4692856,KHM
Cambodia,Asia,1957,41.366,5322536,434.0383364,KHM
Cambodia,Asia,1962,43.415,6083619,496.9136476,KHM
Cambodia,Asia,1967,45.415,6960067,523.4323142,KHM
Cambodia,Asia,1972,40.317,7450606,421.6240257,KHM
Cambodia,Asia,1977,31.22,6978607,524.9721832,KHM
Cambodia,Asia,1982,50.957,7272485,624.4754784,KHM
Cambodia,Asia,1987,53.914,8371791,683.8955732,KHM
Cambodia,Asia,1992,55.803,10150094,682.3031755,KHM
Cambodia,Asia,1997,56.534,11782962,734.28517,KHM
Cambodia,Asia,2002,56.752,12926707,896.2260153,KHM
Cambodia,Asia,2007,59.723,14131858,1713.778686,KHM
Cameroon,Africa,1952,38.523,5009067,1172.667655,CMR
Cameroon,Africa,1957,40.428,5359923,1313.048099,CMR
Cameroon,Africa,1962,42.643,5793633,1399.607441,CMR
Cameroon,Africa,1967,44.799,6335506,1508.453148,CMR
Cameroon,Africa,1972,47.049,7021028,1684.146528,CMR
Cameroon,Africa,1977,49.355,7959865,1783.432873,CMR
Cameroon,Africa,1982,52.961,9250831,2367.983282,CMR
Cameroon,Africa,1987,54.985,10780667,2602.664206,CMR
Cameroon,Africa,1992,54.314,12467171,1793.163278,CMR
Cameroon,Africa,1997,52.199,14195809,1694.337469,CMR
Cameroon,Africa,2002,49.856,15929988,1934.011449,CMR
Cameroon,Africa,2007,50.43,17696293,2042.09524,CMR
Canada,Americas,1952,68.75,14785584,11367.16112,CAN
Canada,Americas,1957,69.96,17010154,12489.95006,CAN
Canada,Americas,1962,71.3,18985849,13462.48555,CAN
Canada,Americas,1967,72.13,20819767,16076.58803,CAN
Canada,Americas,1972,72.88,22284500,18970.57086,CAN
Canada,Americas,1977,74.21,23796400,22090.88306,CAN
Canada,Americas,1982,75.76,25201900,22898.79214,CAN
Canada,Americas,1987,76.86,26549700,26626.51503,CAN
Canada,Americas,1992,77.95,28523502,26342.88426,CAN
Canada,Americas,1997,78.61,30305843,28954.92589,CAN
Canada,Americas,2002,79.77,31902268,33328.96507,CAN
Canada,Americas,2007,80.653,33390141,36319.23501,CAN
"Central African Republic",Africa,1952,35.463,1291695,1071.310713,CAF
"Central African Republic",Africa,1957,37.464,1392284,1190.844328,CAF
"Central African Republic",Africa,1962,39.475,1523478,1193.068753,CAF
"Central African Republic",Africa,1967,41.478,1733638,1136.056615,CAF
"Central African Republic",Africa,1972,43.457,1927260,1070.013275,CAF
"Central African Republic",Africa,1977,46.775,2167533,1109.374338,CAF
"Central African Republic",Africa,1982,48.295,2476971,956.7529907,CAF
"Central African Republic",Africa,1987,50.485,2840009,844.8763504,CAF
"Central African Republic",Africa,1992,49.396,3265124,747.9055252,CAF
"Central African Republic",Africa,1997,46.066,3696513,740.5063317,CAF
"Central African Republic",Africa,2002,43.308,4048013,738.6906068,CAF
"Central African Republic",Africa,2007,44.741,4369038,706.016537,CAF
Chad,Africa,1952,38.092,2682462,1178.665927,TCD
Chad,Africa,1957,39.881,2894855,1308.495577,TCD
Chad,Africa,1962,41.716,3150417,1389.817618,TCD
Chad,Africa,1967,43.601,3495967,1196.810565,TCD
Chad,Africa,1972,45.569,3899068,1104.103987,TCD
Chad,Africa,1977,47.383,4388260,1133.98495,TCD
Chad,Africa,1982,49.517,4875118,797.9081006,TCD
Chad,Africa,1987,51.051,5498955,952.386129,TCD
Chad,Africa,1992,51.724,6429417,1058.0643,TCD
Chad,Africa,1997,51.573,7562011,1004.961353,TCD
Chad,Africa,2002,50.525,8835739,1156.18186,TCD
Chad,Africa,2007,50.651,10238807,1704.063724,TCD
Chile,Americas,1952,54.745,6377619,3939.978789,CHL
Chile,Americas,1957,56.074,7048426,4315.622723,CHL
Chile,Americas,1962,57.924,7961258,4519.094331,CHL
Chile,Americas,1967,60.523,8858908,5106.654313,CHL
Chile,Americas,1972,63.441,9717524,5494.024437,CHL
Chile,Americas,1977,67.052,10599793,4756.763836,CHL
Chile,Americas,1982,70.565,11487112,5095.665738,CHL
Chile,Americas,1987,72.492,12463354,5547.063754,CHL
Chile,Americas,1992,74.126,13572994,7596.125964,CHL
Chile,Americas,1997,75.816,14599929,10118.05318,CHL
Chile,Americas,2002,77.86,15497046,10778.78385,CHL
Chile,Americas,2007,78.553,16284741,13171.63885,CHL
China,Asia,1952,44,556263527,400.448611,CHN
China,Asia,1957,50.54896,637408000,575.9870009,CHN
China,Asia,1962,44.50136,665770000,487.6740183,CHN
China,Asia,1967,58.38112,754550000,612.7056934,CHN
China,Asia,1972,63.11888,862030000,676.9000921,CHN
China,Asia,1977,63.96736,943455000,741.2374699,CHN
China,Asia,1982,65.525,1000281000,962.4213805,CHN
China,Asia,1987,67.274,1084035000,1378.904018,CHN
China,Asia,1992,68.69,1164970000,1655.784158,CHN
China,Asia,1997,70.426,1230075000,2289.234136,CHN
China,Asia,2002,72.028,1280400000,3119.280896,CHN
China,Asia,2007,72.961,1318683096,4959.114854,CHN
Colombia,Americas,1952,50.643,12350771,2144.115096,COL
Colombia,Americas,1957,55.118,14485993,2323.805581,COL
Colombia,Americas,1962,57.863,17009885,2492.351109,COL
Colombia,Americas,1967,59.963,19764027,2678.729839,COL
Colombia,Americas,1972,61.623,22542890,3264.660041,COL
Colombia,Americas,1977,63.837,25094412,3815.80787,COL
Colombia,Americas,1982,66.653,27764644,4397.575659,COL
Colombia,Americas,1987,67.768,30964245,4903.2191,COL
Colombia,Americas,1992,68.421,34202721,5444.648617,COL
Colombia,Americas,1997,70.313,37657830,6117.361746,COL
Colombia,Americas,2002,71.682,41008227,5755.259962,COL
Colombia,Americas,2007,72.889,44227550,7006.580419,COL
Comoros,Africa,1952,40.715,153936,1102.990936,COM
Comoros,Africa,1957,42.46,170928,1211.148548,COM
Comoros,Africa,1962,44.467,191689,1406.648278,COM
Comoros,Africa,1967,46.472,217378,1876.029643,COM
Comoros,Africa,1972,48.944,250027,1937.577675,COM
Comoros,Africa,1977,50.939,304739,1172.603047,COM
Comoros,Africa,1982,52.933,348643,1267.100083,COM
Comoros,Africa,1987,54.926,395114,1315.980812,COM
Comoros,Africa,1992,57.939,454429,1246.90737,COM
Comoros,Africa,1997,60.66,527982,1173.618235,COM
Comoros,Africa,2002,62.974,614382,1075.811558,COM
Comoros,Africa,2007,65.152,710960,986.1478792,COM
"Congo, Dem. Rep.",Africa,1952,39.143,14100005,780.5423257,COD
"Congo, Dem. Rep.",Africa,1957,40.652,15577932,905.8602303,COD
"Congo, Dem. Rep.",Africa,1962,42.122,17486434,896.3146335,COD
"Congo, Dem. Rep.",Africa,1967,44.056,19941073,861.5932424,COD
"Congo, Dem. Rep.",Africa,1972,45.989,23007669,904.8960685,COD
"Congo, Dem. Rep.",Africa,1977,47.804,26480870,795.757282,COD
"Congo, Dem. Rep.",Africa,1982,47.784,30646495,673.7478181,COD
"Congo, Dem. Rep.",Africa,1987,47.412,35481645,672.774812,COD
"Congo, Dem. Rep.",Africa,1992,45.548,41672143,457.7191807,COD
"Congo, Dem. Rep.",Africa,1997,42.587,47798986,312.188423,COD
"Congo, Dem. Rep.",Africa,2002,44.966,55379852,241.1658765,COD
"Congo, Dem. Rep.",Africa,2007,46.462,64606759,277.5518587,COD
"Congo, Rep.",Africa,1952,42.111,854885,2125.621418,COG
"Congo, Rep.",Africa,1957,45.053,940458,2315.056572,COG
"Congo, Rep.",Africa,1962,48.435,1047924,2464.783157,COG
"Congo, Rep.",Africa,1967,52.04,1179760,2677.939642,COG
"Congo, Rep.",Africa,1972,54.907,1340458,3213.152683,COG
"Congo, Rep.",Africa,1977,55.625,1536769,3259.178978,COG
"Congo, Rep.",Africa,1982,56.695,1774735,4879.507522,COG
"Congo, Rep.",Africa,1987,57.47,2064095,4201.194937,COG
"Congo, Rep.",Africa,1992,56.433,2409073,4016.239529,COG
"Congo, Rep.",Africa,1997,52.962,2800947,3484.164376,COG
"Congo, Rep.",Africa,2002,52.97,3328795,3484.06197,COG
"Congo, Rep.",Africa,2007,55.322,3800610,3632.557798,COG
"Costa Rica",Americas,1952,57.206,926317,2627.009471,CRI
"Costa Rica",Americas,1957,60.026,1112300,2990.010802,CRI
"Costa Rica",Americas,1962,62.842,1345187,3460.937025,CRI
"Costa Rica",Americas,1967,65.424,1588717,4161.727834,CRI
"Costa Rica",Americas,1972,67.849,1834796,5118.146939,CRI
"Costa Rica",Americas,1977,70.75,2108457,5926.876967,CRI
"Costa Rica",Americas,1982,73.45,2424367,5262.734751,CRI
"Costa Rica",Americas,1987,74.752,2799811,5629.915318,CRI
"Costa Rica",Americas,1992,75.713,3173216,6160.416317,CRI
"Costa Rica",Americas,1997,77.26,3518107,6677.045314,CRI
"Costa Rica",Americas,2002,78.123,3834934,7723.447195,CRI
"Costa Rica",Americas,2007,78.782,4133884,9645.06142,CRI
"Cote d'Ivoire",Africa,1952,40.477,2977019,1388.594732,CIV
"Cote d'Ivoire",Africa,1957,42.469,3300000,1500.895925,CIV
"Cote d'Ivoire",Africa,1962,44.93,3832408,1728.869428,CIV
"Cote d'Ivoire",Africa,1967,47.35,4744870,2052.050473,CIV
"Cote d'Ivoire",Africa,1972,49.801,6071696,2378.201111,CIV
"Cote d'Ivoire",Africa,1977,52.374,7459574,2517.736547,CIV
"Cote d'Ivoire",Africa,1982,53.983,9025951,2602.710169,CIV
"Cote d'Ivoire",Africa,1987,54.655,10761098,2156.956069,CIV
"Cote d'Ivoire",Africa,1992,52.044,12772596,1648.073791,CIV
"Cote d'Ivoire",Africa,1997,47.991,14625967,1786.265407,CIV
"Cote d'Ivoire",Africa,2002,46.832,16252726,1648.800823,CIV
"Cote d'Ivoire",Africa,2007,48.328,18013409,1544.750112,CIV
Croatia,Europe,1952,61.21,3882229,3119.23652,HRV
Croatia,Europe,1957,64.77,3991242,4338.231617,HRV
Croatia,Europe,1962,67.13,4076557,5477.890018,HRV
Croatia,Europe,1967,68.5,4174366,6960.297861,HRV
Croatia,Europe,1972,69.61,4225310,9164.090127,HRV
Croatia,Europe,1977,70.64,4318673,11305.38517,HRV
Croatia,Europe,1982,70.46,4413368,13221.82184,HRV
Croatia,Europe,1987,71.52,4484310,13822.58394,HRV
Croatia,Europe,1992,72.527,4494013,8447.794873,HRV
Croatia,Europe,1997,73.68,4444595,9875.604515,HRV
Croatia,Europe,2002,74.876,4481020,11628.38895,HRV
Croatia,Europe,2007,75.748,4493312,14619.22272,HRV
Cuba,Americas,1952,59.421,6007797,5586.53878,CUB
Cuba,Americas,1957,62.325,6640752,6092.174359,CUB
Cuba,Americas,1962,65.246,7254373,5180.75591,CUB
Cuba,Americas,1967,68.29,8139332,5690.268015,CUB
Cuba,Americas,1972,70.723,8831348,5305.445256,CUB
Cuba,Americas,1977,72.649,9537988,6380.494966,CUB
Cuba,Americas,1982,73.717,9789224,7316.918107,CUB
Cuba,Americas,1987,74.174,10239839,7532.924763,CUB
Cuba,Americas,1992,74.414,10723260,5592.843963,CUB
Cuba,Americas,1997,76.151,10983007,5431.990415,CUB
Cuba,Americas,2002,77.158,11226999,6340.646683,CUB
Cuba,Americas,2007,78.273,11416987,8948.102923,CUB
"Czech Republic",Europe,1952,66.87,9125183,6876.14025,CZE
"Czech Republic",Europe,1957,69.03,9513758,8256.343918,CZE
"Czech Republic",Europe,1962,69.9,9620282,10136.86713,CZE
"Czech Republic",Europe,1967,70.38,9835109,11399.44489,CZE
"Czech Republic",Europe,1972,70.29,9862158,13108.4536,CZE
"Czech Republic",Europe,1977,70.71,10161915,14800.16062,CZE
"Czech Republic",Europe,1982,70.96,10303704,15377.22855,CZE
"Czech Republic",Europe,1987,71.58,10311597,16310.4434,CZE
"Czech Republic",Europe,1992,72.4,10315702,14297.02122,CZE
"Czech Republic",Europe,1997,74.01,10300707,16048.51424,CZE
"Czech Republic",Europe,2002,75.51,10256295,17596.21022,CZE
"Czech Republic",Europe,2007,76.486,10228744,22833.30851,CZE
Denmark,Europe,1952,70.78,4334000,9692.385245,DNK
Denmark,Europe,1957,71.81,4487831,11099.65935,DNK
Denmark,Europe,1962,72.35,4646899,13583.31351,DNK
Denmark,Europe,1967,72.96,4838800,15937.21123,DNK
Denmark,Europe,1972,73.47,4991596,18866.20721,DNK
Denmark,Europe,1977,74.69,5088419,20422.9015,DNK
Denmark,Europe,1982,74.63,5117810,21688.04048,DNK
Denmark,Europe,1987,74.8,5127024,25116.17581,DNK
Denmark,Europe,1992,75.33,5171393,26406.73985,DNK
Denmark,Europe,1997,76.11,5283663,29804.34567,DNK
Denmark,Europe,2002,77.18,5374693,32166.50006,DNK
Denmark,Europe,2007,78.332,5468120,35278.41874,DNK
Djibouti,Africa,1952,34.812,63149,2669.529475,DJI
Djibouti,Africa,1957,37.328,71851,2864.969076,DJI
Djibouti,Africa,1962,39.693,89898,3020.989263,DJI
Djibouti,Africa,1967,42.074,127617,3020.050513,DJI
Djibouti,Africa,1972,44.366,178848,3694.212352,DJI
Djibouti,Africa,1977,46.519,228694,3081.761022,DJI
Djibouti,Africa,1982,48.812,305991,2879.468067,DJI
Djibouti,Africa,1987,50.04,311025,2880.102568,DJI
Djibouti,Africa,1992,51.604,384156,2377.156192,DJI
Djibouti,Africa,1997,53.157,417908,1895.016984,DJI
Djibouti,Africa,2002,53.373,447416,1908.260867,DJI
Djibouti,Africa,2007,54.791,496374,2082.481567,DJI
"Dominican Republic",Americas,1952,45.928,2491346,1397.717137,DOM
"Dominican Republic",Americas,1957,49.828,2923186,1544.402995,DOM
"Dominican Republic",Americas,1962,53.459,3453434,1662.137359,DOM
"Dominican Republic",Americas,1967,56.751,4049146,1653.723003,DOM
"Dominican Republic",Americas,1972,59.631,4671329,2189.874499,DOM
"Dominican Republic",Americas,1977,61.788,5302800,2681.9889,DOM
"Dominican Republic",Americas,1982,63.727,5968349,2861.092386,DOM
"Dominican Republic",Americas,1987,66.046,6655297,2899.842175,DOM
"Dominican Republic",Americas,1992,68.457,7351181,3044.214214,DOM
"Dominican Republic",Americas,1997,69.957,7992357,3614.101285,DOM
"Dominican Republic",Americas,2002,70.847,8650322,4563.808154,DOM
"Dominican Republic",Americas,2007,72.235,9319622,6025.374752,DOM
Ecuador,Americas,1952,48.357,3548753,3522.110717,ECU
Ecuador,Americas,1957,51.356,4058385,3780.546651,ECU
Ecuador,Americas,1962,54.64,4681707,4086.114078,ECU
Ecuador,Americas,1967,56.678,5432424,4579.074215,ECU
Ecuador,Americas,1972,58.796,6298651,5280.99471,ECU
Ecuador,Americas,1977,61.31,7278866,6679.62326,ECU
